id,age,steps
125,41,17545
170,38,27851
193,49,16507
291,37,24488
315,46,10468
412,44,16895
480,32,15574
689,49,18892
704,67,14127
967,53,24145
992,72,8829
1095,50,15676
1252,55,14602
1335,50,9444
1467,72,-1
1527,59,8086
1545,36,18504
1567,68,19049
1666,59,18463
1797,56,17193
1849,73,10113
2000,56,15299
2349,56,23411
2373,38,18557
2481,59,13144
2521,55,13061
2588,80,8746
2652,51,14076
2754,51,14893
2762,56,17658
2785,48,19551
2792,36,21223
2861,59,14528
2866,64,10573
2971,65,15277
2986,37,17391
3188,37,19173
3317,17,19118
3414,44,15006
3425,48,17827
3491,37,23422
3566,58,16042
3730,27,9441
3772,58,16220
3820,47,17580
3855,50,16731
3875,41,13599
3890,51,19691
4001,34,15807
4072,35,19267
4113,41,19426
4155,43,23632
4250,39,22929
4276,32,15025
4344,39,15082
4399,49,17348
4456,36,17665
4542,43,13487
4605,36,19778
4696,55,7372
4726,56,18805
4776,63,14618
4953,54,20758
5037,34,18815
5042,75,16765
5044,54,18166
5071,55,12522
5277,44,20103
5459,50,19329
5638,55,23214
5655,35,18449
5727,38,27912
5748,37,14795
6092,39,19830
6092,54,15519
6164,39,19664
6429,41,24689
6484,50,17017
6593,35,22377
6661,29,22219
6697,73,12181
6804,70,13886
6822,32,24833
6877,29,16611
7046,45,-1
7194,44,18345
7289,61,16490
7319,48,14452
7331,47,20171
7367,56,16677
7546,25,19480
7608,58,14304
7616,54,16680
7648,45,-1
7657,58,11488
7704,53,15619
7736,51,18507
7771,52,15423
7841,61,27016
7854,54,18869
7913,37,24669
7950,57,11277
7975,71,11048
8003,34,17019
8167,54,12083
8204,46,14987
8208,38,23053
8209,35,11736
8331,24,17384
8427,49,20344
8527,49,20814
8757,64,17291
8898,40,11389
9015,47,11396
9016,43,13818
9100,52,19404
9228,48,16112
9294,58,24830
9299,42,9029
9335,77,10018
9354,34,14609
9793,59,14974
9954,63,16832
9961,52,14888
10043,39,15009
10126,44,14193
10143,48,16447
10172,35,19565
10204,67,22663
10208,73,16286
10383,68,11391
10423,49,13568
10680,33,26064
10761,47,15109
10762,48,15346
10819,48,13763
10852,67,15393
10863,37,9578
10894,73,16696
10986,45,19844
11046,64,15388
11081,43,17287
11173,34,21234
11438,38,23482
11582,64,12504
11636,63,18182
11680,55,19586
11705,65,9816
11787,71,13092
11813,54,-1
11837,52,-1
11967,69,18788
12112,58,8194
12150,54,14970
12163,45,13270
12187,70,14380
12294,36,15288
12309,36,17048
12464,29,20188
12529,38,15040
12583,54,18587
12627,34,15465
12669,31,21638
12688,28,23364
12689,39,18544
13034,40,15925
13082,30,14123
13100,58,13907
13112,56,14906
13224,51,22536
13365,42,11535
13367,45,22994
13388,53,26316
13409,48,15194
13453,48,20318
13587,51,-1
13619,37,23360
13642,65,13522
13663,46,16627
13748,59,16003
13789,41,21529
13805,57,21732
13904,30,20227
14036,42,15508
14050,56,13657
14050,45,19227
14073,45,17770
14092,50,14273
14118,47,8728
14250,45,14377
14262,60,11459
14449,65,12090
14514,53,16226
14535,49,18206
14574,36,-1
14624,57,8931
14704,41,20512
14780,53,19373
14902,63,11329
14920,67,9597
14983,47,21205
15001,31,27237
15035,59,21636
15054,41,22031
15143,40,18443
15202,64,11961
15340,59,12630
15374,42,17255
15417,29,25548
15469,61,11561
15586,46,21890
15654,55,15168
15663,55,15005
15748,41,15818
15768,57,12670
15819,31,13126
15927,67,10910
15953,62,7461
15961,63,11964
16091,50,22111
16171,32,20794
16179,52,14602
16221,62,9746
16275,63,11293
16282,42,13426
16354,45,13498
16413,37,14996
16479,50,14365
16494,58,14661
16711,46,16659
16809,39,7709
16977,61,16305
16980,35,20187
17047,62,17041
17129,60,14978
17148,69,18371
17250,67,11934
17455,59,15448
17462,62,16988
17487,38,17894
17493,42,29447
17524,55,21859
17608,36,19884
17805,67,16728
17891,57,8117
17959,34,15393
18166,54,14771
18426,50,18865
18511,43,20392
18569,59,18366
18617,35,20394
19083,50,15903
19093,65,12537
19106,45,10346
19180,61,14135
19212,57,20490
19264,39,20744
19284,41,21062
19348,36,11888
19361,46,14936
19527,47,8642
19531,58,15899
19566,21,18807
19672,35,12788
19676,48,20827
19687,56,18610
19712,44,15439
19796,25,17841
19943,43,19548
19959,46,12471
20001,49,12742
20008,36,7384
20137,43,13587
20137,62,22565
20147,67,21756
20167,67,12644
20327,49,6712
20352,57,9472
20387,36,21579
20390,43,20582
20464,64,18566
20598,32,18873
20642,48,13892
20733,75,12283
20874,35,17557
20948,35,17075
20959,48,15088
21246,60,25182
21259,37,16748
21334,61,-1
21360,66,13334
21409,29,16070
21414,62,12664
21446,42,19215
21459,53,4547
21499,70,18284
21528,38,22262
21597,57,13065
21618,64,18724
21775,27,21510
21858,57,11121
21883,50,20711
21910,32,24341
21918,75,13171
22071,57,15202
22105,67,18968
22117,47,16522
22118,59,19782
22175,56,16442
22370,43,20849
22506,66,13538
22561,54,14155
22798,39,10094
22996,26,21269
23073,50,13925
23112,57,18349
23162,55,17265
23162,55,18670
23186,23,20051
23245,46,17235
23274,67,8391
23276,40,24867
23301,28,15960
23347,34,22078
23391,47,8582
23509,42,11867
23511,58,15667
23520,47,17487
23618,38,12452
23641,56,15825
23645,66,13200
23792,20,9996
23810,49,20597
23838,77,11958
23919,38,12377
23927,63,9202
24137,54,18430
24423,54,15834
24549,46,14716
24638,67,6924
24647,48,12790
24674,46,20053
24898,56,13707
25090,39,14906
25213,72,8388
25227,39,22103
25254,31,22147
25291,49,18769
25557,55,14405
25618,53,16322
25666,54,11729
25802,15,20140
26022,50,16963
26060,26,20636
26123,59,17871
26124,61,16764
26206,64,8422
26308,49,7448
26341,40,20695
26619,55,14718
26631,49,17876
26751,56,16436
26823,51,15456
26852,45,18514
26898,53,10412
26906,50,9929
26914,54,17432
26929,49,20003
26976,55,9460
26980,61,14777
26993,32,19283
27005,56,20648
27087,51,12755
27142,44,17026
27166,55,15613
27255,21,21084
27265,30,9546
27274,50,23535
27392,61,9468
27427,36,18777
27522,41,16337
27543,55,16067
27691,51,14743
27693,55,19656
27733,38,28127
27746,53,14729
27785,56,18550
27796,62,16611
27841,25,17944
27856,39,22277
27875,49,16161
28041,46,25611
28049,55,14836
28103,42,16414
28141,53,20265
28150,50,19794
28299,51,19727
28326,49,23793
28400,49,19105
28413,75,8350
28540,45,13726
28683,78,13558
28699,49,19766
28725,36,17255
28766,45,18142
28781,64,16930
28875,73,16722
28957,43,14138
29070,56,8692
29112,46,-1
29128,40,18018
29218,67,15565
29437,40,15812
29505,43,18697
29524,62,11099
29536,67,15136
29562,68,5236
29628,66,11893
29825,28,21168
29867,55,11278
29911,39,14756
29979,40,17590
29997,77,10621
30064,75,11252
30113,50,14973
30168,47,19404
30175,52,14187
30193,65,14261
30194,32,19514
30215,57,13495
30223,56,18505
30322,65,12607
30322,58,16684
30353,56,13101
30363,58,15493
30392,40,24060
30402,60,16017
30621,34,27950
30714,65,14940
30824,36,26724
30834,48,19916
31057,56,14824
31078,57,18171
31093,48,17317
31099,55,18828
31184,60,18268
31191,53,22612
31230,46,13032
31256,63,14117
31266,55,21886
31457,74,22607
31496,54,17576
31499,66,-1
31617,35,26806
31624,32,11685
31660,67,17077
31664,43,26334
31669,57,10761
31717,67,17575
31723,41,15960
31818,41,15622
31925,52,19065
31928,48,19395
31948,78,22009
32024,65,12483
32032,55,18055
32059,50,21404
32170,64,14392
32205,38,21695
32237,54,16371
32404,38,22746
32415,73,18567
32428,47,20369
32437,46,12451
32538,46,27001
32562,58,21271
32604,59,13829
32611,56,14063
32653,35,17059
32803,38,16742
32852,63,23238
32862,49,13601
32875,55,9704
32969,65,21586
33151,44,8404
33175,59,13264
33297,58,17941
33310,48,12366
33376,35,17240
33382,49,17180
33401,46,13871
33410,62,24027
33572,42,15723
33604,50,23268
33641,52,19412
33652,60,15355
33660,29,11694
33789,40,18587
33836,20,21804
33943,42,11466
33963,71,13329
34009,65,14742
34144,40,17225
34155,56,6992
34319,76,10159
34326,41,15545
34357,50,14072
34474,63,18361
34562,35,16755
34666,47,14524
34795,36,16571
34973,33,15165
34986,35,16889
35011,60,23372
35105,62,8793
35107,52,28139
35121,54,15910
35162,71,17090
35319,46,13757
35450,50,19014
35477,63,9914
35668,57,-1
35740,55,12115
35761,39,30120
35769,55,20022
35865,45,14244
35931,48,15655
36007,56,16149
36095,57,14802
36242,74,8712
36271,44,14803
36276,35,18840
36549,55,15952
36739,67,13427
36748,27,22174
36764,35,14774
37129,51,20605
37217,56,15845
37233,68,16558
37397,67,19094
37410,69,18616
37484,36,14142
37507,56,18492
37514,25,20504
37536,55,13096
37559,45,17999
37586,30,18378
37626,69,17640
37741,36,17923
37886,54,19281
37947,56,18973
37959,56,10292
37970,54,12595
38180,55,13323
38198,46,24086
38248,36,23687
38286,27,19691
38316,36,16961
38510,49,15632
38549,48,17873
38551,62,11170
38697,39,18305
38802,43,24113
38825,49,23335
39043,51,11875
39070,54,17061
39109,52,11994
39354,57,12365
39468,44,16861
39524,71,11977
39701,40,25700
39908,43,-1
40006,38,12465
40220,54,17717
40332,50,12238
40355,49,13530
40425,50,12687
40519,46,12035
40579,46,15316
40672,67,22144
40691,43,21339
40766,56,15464
40842,52,14761
40864,53,19388
40883,43,14418
40916,33,24663
40922,37,17769
40942,47,17887
41008,69,16091
41032,53,19534
41060,72,383
41065,50,17631
41232,68,11716
41241,62,19412
41360,57,17727
41427,36,21980
41462,68,14871
41490,42,10754
41515,51,18174
41536,31,9315
41590,54,14521
41770,37,22876
41836,53,17488
41837,38,17101
41906,51,20149
41940,38,21002
41952,45,25689
42021,42,15586
42142,50,18467
42162,44,17910
42227,70,8562
42415,31,-1
42466,42,16734
42470,62,24005
42479,59,17183
42517,60,14279
42559,51,22828
42614,43,27351
42731,54,15408
42879,60,21005
42908,55,12287
43020,29,15529
43206,45,19970
43418,54,11190
43505,47,8932
43748,47,18610
43748,41,15928
43814,48,14085
43945,45,15542
44123,38,16730
44158,32,20647
44158,87,12818
44320,41,12587
44335,40,16276
44373,44,14677
44484,57,14063
44504,55,15203
44549,66,13878
44556,49,21618
44584,50,10410
44677,52,16887
44717,67,15494
44740,38,21457
44797,38,15507
44880,53,13016
44915,37,18802
44928,48,21464
45015,45,19401
45045,58,13319
45049,53,17314
45090,39,18044
45191,41,15162
45198,60,12239
45211,70,18998
45226,61,13083
45458,41,12313
45464,68,12873
45483,55,17258
45494,48,13683
45505,48,18351
45641,53,16263
45711,53,14319
45910,51,10340
45930,41,17970
46074,55,18576
46163,52,13364
46193,45,15101
46214,53,17582
46225,31,21042
46295,53,24308
46493,57,22440
46535,48,16424
46559,47,16139
46642,46,16231
46664,43,21431
46682,56,21566
46823,60,21062
46859,48,13563
46993,52,16305
47004,44,22067
47081,55,11077
47173,65,15702
47224,32,17205
47247,59,7858
47248,39,8493
47333,62,10100
47378,51,18680
47386,56,19581
47440,22,-1
47515,51,16719
47528,42,15465
47549,59,21741
47611,58,14207
47757,41,12453
47937,68,21773
48026,55,17424
48036,42,15924
48073,43,-1
48089,56,10032
48189,41,11463
48362,84,11876
48374,52,21514
48482,35,19161
48601,28,18336
48666,56,19127
48779,45,19259
48912,41,26652
48956,47,21543
48994,44,11437
49037,57,19585
49043,42,10586
49078,70,5229
49083,69,12298
49212,42,8180
49219,54,23451
49365,57,9843
49404,40,16847
49423,61,22919
49454,44,21626
49486,44,18458
49565,37,20922
49610,54,-1
49639,80,9257
49676,63,4545
49712,50,-1
49713,38,15577
49751,44,13879
49808,65,8253
50105,51,20587
50144,53,15875
50198,58,16853
50265,54,16547
50354,54,18042
50358,56,19192
50377,39,23285
50571,56,-1
50578,49,17845
50606,59,11174
50645,48,16033
50692,53,12729
50709,37,18187
50774,62,12667
50784,48,16479
50811,52,19253
50858,29,18259
50861,42,20950
50872,61,-1
50914,47,14180
50932,42,19154
51046,36,12199
51117,53,-1
51132,49,23556
51262,54,-1
51299,46,12183
51344,75,16268
51500,46,14376
51555,45,17795
51577,61,13259
51672,69,-1
51744,51,9871
52039,37,19450
52071,43,19708
52095,77,11250
52209,48,12615
52287,55,18621
52424,48,11326
52432,53,11462
52537,45,16832
52743,73,17016
52770,41,14171
52777,52,19953
52829,45,12508
52920,33,20827
52958,55,13651
53080,71,-1
53180,62,19904
53186,63,15940
53219,34,21901
53294,39,13645
53317,51,19933
53388,50,19425
53526,44,16661
53534,50,23212
53576,48,19727
53644,60,20964
53646,52,12307
53894,43,22102
53894,41,19696
53897,22,24948
53961,50,24018
54066,31,19465
54135,37,-1
54153,50,23708
54158,60,18033
54158,41,21749
54269,53,19645
54294,66,12473
54381,54,19263
54482,72,6760
54491,56,16743
54512,37,24573
54578,57,14971
54600,48,17216
54629,73,12635
54699,57,15014
54801,36,19428
54916,62,20224
55142,45,17010
55176,54,15194
55227,48,21263
55359,48,17316
55373,40,20739
55380,47,16609
55386,54,18065
55402,26,10812
55444,35,21543
55509,49,14944
55512,71,12103
55569,55,14679
55664,52,17939
55714,39,14865
55820,40,14522
55848,26,20219
55850,50,14309
55929,53,16010
55959,36,18148
55988,63,21904
56081,32,19433
56168,55,20491
56249,59,14986
56285,38,26479
56330,38,21201
56360,45,20135
56371,46,11090
56429,59,11764
56532,49,20181
56614,41,15235
56917,55,18838
57029,30,18539
57076,58,24634
57119,64,20334
57139,43,12657
57167,72,17257
57195,60,18132
57203,60,18547
57354,41,12420
57391,42,21269
57498,48,13721
57613,48,17916
57815,31,24152
57836,49,10224
57850,47,18505
57888,54,15958
58021,52,26217
58098,36,16230
58125,26,15458
58133,32,19388
58160,68,13967
58174,29,19162
58177,69,15156
58178,32,17214
58230,34,14822
58235,56,15237
58294,62,16365
58366,55,19877
58425,56,16039
58437,52,26375
58517,34,15635
58627,54,19229
58650,54,11022
58683,57,15684
58739,47,11942
58852,41,8350
59030,47,15519
59072,62,-1
59091,44,24763
59118,46,16986
59385,38,18098
59491,41,9732
59520,40,18655
59564,67,10627
59598,69,12313
59655,60,20207
59716,34,8302
59740,63,16028
59995,67,13652
60102,61,13110
60117,83,11349
60139,46,16581
60245,50,9622
60256,37,16365
60342,37,21723
60378,43,18818
60535,30,27781
60618,32,20626
60666,53,16406
60812,53,11674
60854,47,12941
60860,31,22459
60863,66,10524
60877,41,11192
60883,55,23009
60925,16,17381
60994,39,22084
61066,52,15350
61069,73,10233
61072,30,21485
61085,42,23200
61249,48,20268
61338,49,20997
61481,52,21055
61590,55,11513
61600,67,12587
61603,36,17583
61779,25,14212
61816,38,17914
61859,46,20629
61912,43,12832
61953,54,17635
61998,42,13691
62099,40,15402
62167,56,22883
62249,34,29540
62420,22,18832
62433,47,21261
62575,47,19345
62615,48,23497
62702,45,17368
62736,56,15272
62908,52,13278
62943,56,15072
63012,57,10430
63154,39,24283
63184,40,9439
63364,45,15387
63385,39,21529
63404,30,19218
63404,54,10635
63491,61,11346
63619,48,18329
63674,54,15031
63696,60,19316
63699,50,12259
63716,52,22890
63740,35,14635
63788,37,18937
63814,18,18181
63951,72,8299
64102,42,16839
64193,57,11464
64308,53,-1
64377,61,18372
64504,50,23286
64577,55,21135
64609,49,20986
64638,64,17427
64715,33,20093
64802,59,11063
64851,29,22409
65062,51,18416
65172,54,12429
65209,48,7995
65210,49,24335
65371,66,21286
65397,43,17487
65507,57,16944
65544,68,15129
65553,46,15705
65591,44,13676
65608,53,20459
65615,43,8357
65616,50,15724
65640,46,18029
65692,49,20620
65735,39,13342
65810,61,14193
66158,64,15869
66185,37,8227
66301,55,17119
66338,67,19725
66341,63,19671
66598,61,13531
66660,52,24154
66680,55,11730
66730,51,15339
66747,43,27051
66755,44,21700
66758,52,21234
66829,49,10523
66888,39,18593
66933,59,17934
66994,57,12267
66998,47,15376
67007,53,10847
67022,28,20348
67119,48,14925
67180,57,14327
67281,53,14637
67386,54,14245
67422,47,16960
67590,45,11306
67592,64,16471
67612,50,15369
67745,53,10067
67820,68,7513
67892,18,18296
67942,33,18792
67966,40,25140
67970,50,23370
68055,49,-1
68091,56,14473
68227,51,25188
68241,51,14488
68305,39,10303
68310,68,14299
68327,72,20590
68333,44,23829
68793,53,13167
68900,43,16460
68963,56,14549
68985,22,-1
69102,32,21222
69190,62,20511
69477,54,15785
69603,54,-1
69666,57,12399
69698,39,14189
70136,59,19433
70299,43,19192
70315,45,20865
70328,59,15069
70401,44,17984
70829,51,22261
70868,33,17667
71080,57,18448
71246,56,12828
71366,38,17395
71382,26,22892
71455,58,18260
71580,60,12164
71600,36,11547
71702,55,11703
71761,66,19965
71779,50,17974
71877,49,7730
71890,46,12771
71921,47,7777
71934,68,18223
71946,65,17623
71971,51,16233
72033,31,22695
72060,45,9139
72138,40,11207
72207,50,17361
72319,68,13124
72324,58,16235
72424,31,20300
72429,32,19714
72445,31,25761
72498,31,20924
72562,55,12814
72577,52,22889
72658,57,12572
72707,47,24307
72764,54,17297
72942,33,16540
72996,51,21225
73154,49,22448
73317,57,17007
73334,54,15029
73468,57,13545
73497,46,21232
73543,45,13606
73556,79,14659
73563,56,13069
73649,27,12092
73659,51,9593
73727,60,9162
73745,50,20936
73839,50,17211
74007,62,13777
74069,58,13849
74155,49,20235
74159,35,-1
74266,47,22293
74280,37,20122
74440,39,14676
74555,32,12461
74710,65,2277
74728,61,13431
74783,47,16722
74837,30,21200
74891,31,19501
74909,56,16367
74936,59,13512
74975,43,13684
75164,64,-1
75274,27,22908
75304,64,15144
75318,36,14183
75394,61,18633
75404,51,22308
75457,59,17859
75507,43,24976
75514,49,17816
75546,54,12774
75622,52,17634
75632,61,16589
75676,56,8253
75680,50,16916
75682,45,3755
75743,53,13496
75895,30,21407
75924,37,19847
75989,53,22766
76002,69,8070
76027,51,23931
76079,38,23329
76173,54,15050
76207,39,15785
76298,49,22899
76324,59,20979
76400,62,6043
76405,57,19158
76433,57,12380
76446,38,17454
76500,47,20440
76509,44,21581
76516,15,25969
76586,51,23264
76678,52,20597
76866,42,14089
76895,39,16675
77100,48,22187
77129,34,24850
77187,57,13869
77223,45,16115
77257,52,19020
77458,15,19286
77470,67,9734
77501,47,20944
77792,49,16423
77798,28,26366
77866,40,13004
78055,26,22045
78095,41,13380
78108,56,21500
78235,44,12128
78302,64,11568
78306,23,17743
78309,57,21392
78368,56,15062
78462,38,23155
78516,44,18686
78586,53,7039
78601,76,16708
78628,48,16866
78705,54,18574
78794,53,12685
78936,32,9761
78941,51,15921
79024,40,18088
79030,29,21265
79045,61,11194
79125,62,13881
79404,48,17920
79444,49,18321
79571,47,20102
79585,40,19076
79763,42,-1
79775,53,24529
79798,55,13676
79851,49,20669
80219,71,14065
80239,58,11717
80269,44,19798
80462,50,18945
80663,63,13525
80800,67,14714
80801,57,18175
80825,48,9293
80842,47,17735
80887,50,14448
80893,53,14195
80937,57,21033
80974,39,17088
81033,74,15355
81049,61,-1
81210,65,19851
81210,51,22413
81298,50,10709
81317,34,15862
81326,36,15261
81421,52,12410
81472,45,12230
81505,56,20984
81514,44,17967
81526,70,10364
81538,54,13077
81567,47,16474
81619,53,17420
81642,48,17797
81685,46,-1
81838,88,14586
81883,51,15357
81931,47,14327
81944,55,19097
81966,55,11373
82016,62,17110
82108,55,8213
82161,56,13086
82242,45,17781
82302,54,14880
82357,91,9278
82363,36,21939
82421,57,27554
82488,46,10888
82560,53,23091
82564,48,13417
82598,58,26526
82616,44,19541
82710,46,20468
82749,36,27929
82791,42,22337
82801,46,21537
82804,43,23311
82894,46,22219
82894,35,13432
83013,63,25662
83116,73,15397
83269,46,14648
83332,37,12739
83466,76,16070
83478,13,22761
83482,49,17786
83522,53,24004
83554,41,6490
83649,69,15641
83674,56,8496
83765,48,19136
83775,49,23421
83781,47,20071
83796,65,9868
83942,34,23756
84055,66,15457
84059,60,14341
84062,77,5456
84130,57,16090
84237,58,11400
84254,55,4601
84304,45,12270
84422,57,10340
84423,65,17721
84607,45,16216
84649,40,10508
84651,44,20234
84658,62,11019
84744,62,9712
84765,64,19880
84780,39,22375
84787,46,15297
84800,39,26028
84842,61,21223
84942,34,19586
84976,61,18672
85016,54,22429
85138,46,12255
85143,49,6606
85185,42,16193
85251,36,21027
85318,51,17012
85328,54,19410
85343,41,26701
85360,69,13336
85462,57,23070
85586,55,19528
85663,39,15357
85848,28,20189
85911,57,22096
85928,63,9956
85953,70,18150
86019,60,16996
86066,43,13295
86177,44,21057
86234,48,14727
86312,53,18949
86495,39,24678
86604,47,18063
86622,43,18771
86716,52,11093
86905,22,22475
86926,41,9759
86949,67,11047
87017,56,12819
87017,54,10309
87188,56,15908
87208,82,8999
87251,46,23222
87289,56,10251
87405,50,16461
87410,54,12436
87426,37,17699
87546,51,15535
87612,57,17214
87625,50,14156
87699,42,16538
87704,63,14091
87704,41,16791
87753,45,12666
87852,47,13870
87952,52,19454
88317,61,11989
88336,37,-1
88342,60,20229
88380,50,18362
88431,62,17062
88462,34,11051
88483,59,-1
88506,84,17109
88540,52,19083
88668,43,19899
88699,50,19262
88768,56,16716
88792,43,13092
88870,56,11030
88976,53,22984
89060,53,23118
89080,69,17724
89115,43,18942
89154,37,22835
89207,48,20499
89240,79,15673
89316,57,15343
89335,59,20311
89481,60,11402
89685,51,17308
89752,56,10938
89887,47,19624
89924,75,8296
89962,59,20831
90024,36,13717
90041,67,18351
90102,29,-1
90183,56,14345
90365,59,16030
90560,63,11955
90614,42,16503
90622,48,21526
90733,57,16265
90742,56,15675
90750,71,17635
90799,61,15684
90855,51,11937
90943,60,15746
90971,47,15526
91022,62,17452
91051,27,18651
91054,60,20057
91141,68,12079
91218,58,26247
91378,47,12938
91442,36,20605
91461,48,19567
91479,43,16460
91481,71,14769
91579,39,21913
91622,39,18977
91669,50,11429
91701,54,18441
91841,59,18334
91876,41,18284
91880,32,19830
91953,52,17651
91953,63,12805
92073,67,9079
92097,51,19983
92340,51,23414
92361,45,16002
92593,48,16741
92628,49,8955
92736,65,16708
92858,56,19232
92915,56,14799
92916,58,10269
92918,68,20043
92951,43,12855
92960,33,17660
93038,53,13207
93086,50,9133
93192,52,19888
93203,43,-1
93229,33,16737
93315,64,16257
93367,45,15137
93400,61,17975
93536,68,-1
93606,51,13052
93615,55,16085
93673,38,20850
93709,50,16950
93792,32,31001
93814,50,22535
93990,58,11879
94150,39,17262
94167,59,14000
94171,56,23776
94202,86,11348
94206,52,11558
94209,61,13204
94255,70,12492
94258,56,20143
94356,66,20010
94362,51,12433
94397,41,24398
94471,70,15519
94580,47,9544
94913,65,8949
94933,58,20732
94941,30,17088
95085,60,11750
95206,52,17513
95212,46,15208
95250,63,12907
95265,56,16403
95356,47,22006
95421,44,11046
95444,43,28391
95454,51,18877
95739,47,18476
95811,48,10444
95836,55,16685
95976,43,20189
96017,38,19920
96123,49,19159
96167,26,26163
96179,42,11264
96184,33,18280
96297,44,19136
96485,68,18569
96576,41,19533
96741,57,15223
96773,67,-1
96802,45,12814
96805,57,23916
96818,59,13615
96840,45,10558
96842,49,16326
96890,57,7367
96906,52,15961
96922,37,17060
96961,57,7956
96969,38,17024
97104,40,15025
97154,56,13128
97228,31,20089
97280,55,18291
97354,58,18085
97499,47,-1
97537,48,18655
97674,42,16610
97707,39,12521
97776,64,12587
97810,49,20533
97900,46,20330
97934,24,17021
97967,57,18927
98147,50,23600
98249,57,18572
98314,74,11044
98422,30,21031
98425,36,15637
98507,28,11558
98599,48,14382
98683,63,15848
98705,49,14070
98735,77,21519
98873,45,18349
98898,43,13283
98918,53,12337
98963,55,11652
98992,44,19808
99004,36,16833
99028,67,15044
99033,52,18777
99133,36,19516
99190,51,14728
99262,50,12922
99344,41,-1
99393,27,20049
99403,62,15307
99454,28,18636
99466,52,15134
99471,53,19112
99526,52,9837
99585,30,19042
99649,44,18130
99742,38,12942
99757,31,20126
99813,63,10941
99946,29,18726
