Timestamp,What year (in school) are you?,What is your major?,How old are you?,What is your gender?,What is your height?,What is your weight?,What is your eye color?,Were you born in California?,What is your favorite flavor of ice cream?

1/9/2018 14:49:40,4,Cognitive Science,21,Male,"5'8""",147,Brown,Yes,Vanilla

1/9/2018 14:49:45,3,Cognitive Science,20,Male,5'8,150,Brown,Yes,Cookies and Cream

1/9/2018 14:49:45,Third,Computer Science,21,Male,178cm,74kg,Black,Yes,Matcha

1/9/2018 14:49:45,2,Cogs HCI,20,Male,5’8,133,Brown,Yes,Cookies and Cream

1/9/2018 14:49:47,3,Computer Science,20,Male,"5'8""",160,Brown,Yes,Cookies n' Cream

1/9/2018 14:49:48,3rd,Cognitive Science w/ a specialization in Computation,20,Male,"5'11""",150,Brown,Yes,Chocolate

1/9/2018 14:49:48,4,International Studies,21,Male,5'9,160,Brown,Yes,Vanilla

1/9/2018 14:49:50,3rd year,Computer Science,20,Female,"5 ft, 3 in",106 lb,Brown,Yes,Mint chocolate chip

1/9/2018 14:49:50,5th,Computer Engineering,23,Male,5'10,155,Brown,No,Chocolate

1/9/2018 14:49:50,3,Cognitive Science,20,Male,180 cm,170 pounds,brown,Yes,mint

1/9/2018 14:49:50,2,Computer Science,19,Male,5’8,170,Brown,No,Cookie dough

1/9/2018 14:49:51,Second,Cognitive Science,19,Female,"5'3""",135,Hazel,No,Chocolate 

1/9/2018 14:49:51,3,computer science,20,male,"5'9""",115,brown,Yes,cookies and cream

1/9/2018 14:49:52,2,Computer Science,19,Female,"5'2""",110,Brown,Yes,Vanilla

1/9/2018 14:49:52,4th Year,Computer Science,22,Male,5ft 5inches,167 lbs,brown,Yes,vanilla

1/9/2018 14:49:52,2,Computer Science,20,Female,158cm,60kg,black,No,Chocolate

1/9/2018 14:49:52,5,Chemical Engineering / Literature Writing,22,M,"5'8""",155,Brown,No,Sweet cream

1/9/2018 14:49:54,Senior,Computer Science,26,Male,"5'7""",136,Brown,No,Cookie & Cream

1/9/2018 14:49:54,Junior,Cognitive Science w/ Specialization in Human Computer Interaction,20,Male,5 feet 8 inches,150,Brown,Yes,Cookies and Cream

1/9/2018 14:49:54,2nd,Computer Science,19,F,5'7'',140,brown,Yes,Vanilla

1/9/2018 14:49:55,2nd,Cognitive Science-- Machine Learning and Neural Computation ,19,Female ,5' 8'' ,120,black ,Yes,cookies and cream 

1/9/2018 14:49:56,1,Cse,16,Male,184cm,78kg,Black,No,None

1/9/2018 14:49:56,Third,Cognitive Science,21,Female,"5' 7""",128 lbs,Brown,Yes,Mint Chocolate Chip

1/9/2018 14:49:56,2,Cognitive Science - Design and Interaction,19,Male,6’2”,160,Brown,No,Mint Chocolate Chip

1/9/2018 14:49:56,3rd,cognitive science,20,male,6'1'',220,brown,Yes,mint chocolate chip

1/9/2018 14:49:57,2,CSE,19,Male,5'9,145lb,brown,Yes,cookies and cream

1/9/2018 14:49:57,4,Cog sci design interaction,21,male,5'7'',180,brown,Yes,phish food

1/9/2018 14:49:58,2nd,Math CS,19,Female,4'11,95,brown,Yes,chocolate chip

1/9/2018 14:49:58,3rd year,Electrical Engineering,21,Male,"5'10""",160lbs,Brown,No,Vanilla

1/9/2018 14:50:00,senior,math&econ,20,female,173,130,black,No,

1/9/2018 14:50:01,4,Computer Science,22,Male,177cm,177g,brown,No,rose

1/9/2018 14:50:01,4,Computer Science,21,Male,"5'6""",125 pounds,Brown,Yes,Chocolate Chip Cookie Dough

1/9/2018 14:50:01,4,Cognitive Science,21,Female,5'4,125,Brown,Yes,Moose Tracks

1/9/2018 14:50:02,2nd,Cognitive Science spec/ HCI,19,Male,5'10,210,Hazel,Yes,Vanilla

1/9/2018 14:50:02,3,Cognitive science,20,Male,5’5,130,Brown,No,Vanilla

1/9/2018 14:50:03,third,computer science,20,female,5'4,125,dark brown,Yes,butterscotch

1/9/2018 14:50:03,2,Computer Science,19,Female,5'5,120,Hazel,Yes,Pistacchio

1/9/2018 14:50:05,4,Computer Science,22,Male,6'2,170,Hazel,Yes,Vanilla

1/9/2018 14:50:05,3rd,Computer Engineering,21,Female,,,Brown,No,

1/9/2018 14:50:07,first year,Math-CS,19,Male,171cm,69kg,black,No,Mocha

1/9/2018 14:50:07,Second,Data Science,20,Male,"5'8""",165,Brown,No,Chocolate

1/9/2018 14:50:09,3,Computer Science,20,Female,5' 5'',120,Brown,Yes,Butter Pecan

1/9/2018 14:50:09,4,Cognitive science ,22,Male,5’8,160 lbs,Dark brown ,Yes,Strawberry

1/9/2018 14:50:09,4th,Cognitive Science ,21,Female,5'2,123,Brown,Yes,Pistachio

1/9/2018 14:50:09,Yolanda,Math-CS,24,Famale,5,180,black,No,Chocolate

1/9/2018 14:50:10,4th,Math - CS ,21,Male,"5'9""",150,Brown,Yes,Chocolate 

1/9/2018 14:50:10,3rd,Cognitive Science Human Computer Interaction,20,Female,5'2,135lbs,Brown,Yes,Strawberry

1/9/2018 14:50:10,Junior ,Cognitive Science with specialization in HCI ,20,Female,5'7,120,brown,Yes,coffee

1/9/2018 14:50:11,3,Cognitive Science,20,Male,"5' 8""",140,Brown,Yes,Mint Chocolate Chip

1/9/2018 14:50:12,,Cog Sci,21,Female,,,Brown,Yes,Chocolate

1/9/2018 14:50:12,3rd,Cognitive Science (HCI),21,Female,5'3,125,Brown,No,Cookies & Cream

1/9/2018 14:50:12,Freshman,Computer Science,18,Male,5 feet 9 inches,112 pounds,Dark brown,No,Mint Chocolate

1/9/2018 14:50:12,4,Probability & Statistics,21,Male ,6’0,160,Black,No,Cookie Dough 

1/9/2018 14:50:12,Sophomore,Cog Sci,19,Female,5’3,190,Brown,Yes,Lemon

1/9/2018 14:50:13,4,Computer Science,21,Male,"5'9""",145lbs,Hazel,No,Vanilla

1/9/2018 14:50:13,4th year,Cognitive Science,21,Male,5'11,150,Brown,Yes,Vanilla

1/9/2018 14:50:14,Junior,Cognitive Science - Machine Learning,21,Female,64 in,128 lbs,Brown,Yes,Mint Chocolate

1/9/2018 14:50:14,4th Year,Cognitive Science,21,Male,5' 7'',150 lbs,brown,Yes,Pistachio

1/9/2018 14:50:14,3rd,Computer Science,20,Female,5ft 2in,,brown,No,cookies and cream

1/9/2018 14:50:14,Second,Mathematics-computer science,19,Female,5’3”,130,Brown,Yes,Green tea

1/9/2018 14:50:14,6,Computer science ,23,Male,5’8,173lbs,Brown,Yes,Strawberry 

1/9/2018 14:50:14,3,Computer Science,20,Male,66,135,Brown,No,Cookie Dough

1/9/2018 14:50:15,2,Cognitive Science,19,Male,173cm,73kg,Brown,Yes,Half Baked

1/9/2018 14:50:15,3,Cognitive Science ,20,Male,5’8”,133 lb,Brown,Yes,Green tea

1/9/2018 14:50:15,4,Computer Science,21,Male,"5'10""",180,Brown,Yes,Chocolate

1/9/2018 14:50:16,Second,Computer Science-Bioinformatics,19,Female,5 feet 2 in,107 pounds,Black,Yes,Mango

1/9/2018 14:50:16,Sophomore,Cognitive Science - Design and Interaction,19,Female,5'5,,Brown,No,Chubby hubby ben and jerrys

1/9/2018 14:50:16,2,Computer Science,19,Male,,170,Brown,Yes,Chocolate

1/9/2018 14:50:16,Senior,Computer Scientist,22,Male,5 7,165,Dark brown,No,Coffee

1/9/2018 14:50:16,2nd,Cognitive science (HCI),19,Male,6’,200,Brown,Yes,Pecan praline

1/9/2018 14:50:16,5th,Cognitive Science,23,female,5.4,150,hazel,Yes,cookie dough

1/9/2018 14:50:18,Junior,Cognitive Science,24,Male,6 feet,60kg,black,No,Vanilla

1/9/2018 14:50:18,1,Cogsci specializing in machine learning and neural computation ,18,Male,5'4,140,Brown ,No,Mango

1/9/2018 14:50:18,Third,Cognitive Science,21,Female,5’0”,115,Brown,Yes,Green Tea

1/9/2018 14:50:19,4,Computer Science,22,Male,6'2,240,Brown,Yes,Chocolate

1/9/2018 14:50:20,second year,cognitive science with specialization in machine learning and neural computation,20,female,1.6m,47kg,brown,No,chocolate espresso cookie crumble

1/9/2018 14:50:20,Sophomore,Cognitive Science - Design and Interaction,19,Male,5'8,175,Brown,Yes,Oreo Cookies and Creme

1/9/2018 14:50:20,4,Computer Science,21,female,5 ft 2 in,120 lbs,brown,Yes,tofu

1/9/2018 14:50:21,5th,Cogntive Science with emphasis on Clinical Aspects,23,Female,"5'8""",164,Brown,No,Cookies n Cream

1/9/2018 14:50:21,3rd,Computer Science,20,Female,"5'1""",110 lbs,Green,Yes,Phish Food

1/9/2018 14:50:21,Third Year,Computer Science ,20,Female,5’5”,125,Brown,Yes,Cookie dough

1/9/2018 14:50:21,4th,Cognitive Science,21,Female,5'7,128lbs,Blue,Yes,mint and chip

1/9/2018 14:50:23,4,Cognitive science,22,Male,5'11,160,Brown,No,Oreos

1/9/2018 14:50:23,Senior,Computer Science,22,Male,5'11,155 lb,dark brown,No,N/A

1/9/2018 14:50:23,5,Electrical Engineering,22,male,5' 8'',185,brown,No,pistachio

1/9/2018 14:50:23,2nd year,"Cognitive Science ML&NC major, CSE minor",19,Male,"6'2""",167,Brown,Yes,Cookies and Cream (or Ben & Jerry's Half Baked)

1/9/2018 14:50:24,4th,Computer Science,22,Male,"6'4""",170,Brown,Yes,Chocolate

1/9/2018 14:50:24,Senior,Computer Science,21,Female,"5'8.5""",150,brown ,Yes,Chocolate Chip Cookie Dough

1/9/2018 14:50:24,Second,Cognitive Science,20,Male,178 cm,84 kg,Brown,No,Cookie Dough

1/9/2018 14:50:25,Second,math-cs,19,Male ,"5' 7""",125,Black,No,Matcha

1/9/2018 14:50:25,4th,Cognitive Science: Human-Computer Interaction,21,Female,"5'5""",113,Dark Brown,No,Strawberry

1/9/2018 14:50:25,Third,Computer Science,21,Female,,,Black,No,Green tea

1/9/2018 14:50:26,4,Computer Science,21,Female,"5'2""",,Brown,Yes,Mint chip

1/9/2018 14:50:26,Senior,Political Science,21,Male,6'1,235,Brown,Yes,Cake Batter

1/9/2018 14:50:27,First,Data Science,18,Male,5”7’,128lb,Blue,Yes,Chocolate

1/9/2018 14:50:27,5th (2nd year transfer),Cognitive Science with a specialization in Neuroscience,22,Female,"5'2""",119 lbs,blue,No,mint chocolate chip

1/9/2018 14:50:27,4th Year,Molecular Biology,21,Male,"5'6""",130,Brown,Yes,Chocolate chip cookie dough

1/9/2018 14:50:27,Third,Cognitive Science,20,Female,"5'7""",110 lb,brown,Yes,Chocolate

1/9/2018 14:50:27,Senior,Mathematics-Computer Science,22,Male,174cm,72kg,black,No,vanilla

1/9/2018 14:50:28,4th,Cognitive Science,29,male,71,170,hazel,No,Half Baked

1/9/2018 14:50:28,4,Cognitive Science with a Specialization in Neuroscience ,22,Female,5' 1,122,Brown,No,Mint- brownie

1/9/2018 14:50:28,Senior,Economics,21,F,"5'3""",123,Black,Yes,Earl Gray

1/9/2018 14:50:28,1,Computer Science,19,Male,6 ft,140 lbs,Black,No,Cookies and Cream

1/9/2018 14:50:28,2018,computer engineering ,21,male,5'10,160,brown,No,mint chocolate chip

1/9/2018 14:50:29,Sophomore,Cognitive Science with Specialization in Machine Learning and Neural Computation,19,Female,5” 4’,130,Black,Yes,Coffee

1/9/2018 14:50:29,last year,Computer Engineering ,23,Male,177 cm,70 kg,black,No,Strawberry

1/9/2018 14:50:29,Junior ,Economics ,20,Male ,69 inches ,155 pounds ,Hazel ,Yes,Raspberry 

1/9/2018 14:50:29,4th,Cognitive Science (Design & Interaction),22,Male,5'7,128,black,Yes,French Vanilla

1/9/2018 14:50:30,2,Computer science ,20,Male,5'10,140,Brown,Yes,Chocolate 

1/9/2018 14:50:30,UCSD,Cognitive Science,21,F,5'4'',125 lb,Super dark brown,No,Yogurt or any fruity flavor

1/9/2018 14:50:30,3rd,Cognitive Science ,20,female,"5' 4""",130,dark brown,Yes,vanilla

1/9/2018 14:50:30,2nd,Cognitive Science,19,Male,"6'2""",200,Brown,Yes,Cookies n' Cream

1/9/2018 14:50:30,Second,Cognitive Science,19,Male,5 foot 11,150 lbs,Brown,Yes,Phish food

1/9/2018 14:50:32,4th,Cognitive Science Specialization in Design and Interaction,22,Female,5''2',108,Brown,No,Cookies and cream

1/9/2018 14:50:32,Fifth Year,Cognitive Science w/ Focus on Human Computer Interaction,25,Male,6 feet 0 inches,190,Brown,No,Green Tea

1/9/2018 14:50:32,Third,Math,20,Male,67,15,Brown,Yes,Yams

1/9/2018 14:50:32,2021,Data Science,19,Male,6'1,215,Brown,No,McVoytek

1/9/2018 14:50:32,2nd year,Cognitive science ,19,F,167cm,48kg,brown ,No,cookies and cream

1/9/2018 14:50:32,Fifth year,Cognitive science,21,Male,5'10,155,Green,Yes,Strawberry

1/9/2018 14:50:33,4,Math-Computer Science,22,Female,"5'3""",113,Brown,No,Cookies n Creme

1/9/2018 14:50:33,Junior,Cognitive Science with an emphasis in machine learning and neural computation,26,Male,"6'1""",180,Green,No,I'm vegan

1/9/2018 14:50:33,3rd,Math-Cs,20,Male,5'11'',140,Dark Brown,No,Mint

1/9/2018 14:50:33,4th year,Computer Science,21,male,168cm,52kg,black,No,vanila

1/9/2018 14:50:33,5,Mathematics-Computer Science,22,Female,5’8”,140,Dark Brown,Yes,Vanilla Bean

1/9/2018 14:50:35,3rd,Cogs Sci design specilization,21,female,"5""8",145,brown,Yes,chocolate

1/9/2018 14:50:35,3rd Year,Cognitive Science / HCI,20,Male,"5' 10""",185lbs. ,Brown,Yes,Chocolate Carmel

1/9/2018 14:50:35,3rd,Computer science ,23,Male ,6ft,230lb,Brown,Yes,Chocolate chip 

1/9/2018 14:50:35,2,Computer Engineering ,19,Male,5’5,130,Brown,No,Pistachio

1/9/2018 14:50:35,5,Cognitive Science ,22,Female,"5'5""",150,Brown,Yes,Chocolate Chip Cookie Dough

1/9/2018 14:50:35,4,Cognitive Science,28,female,"5'6""",115,brown,No,cookie dough

1/9/2018 14:50:35,Third,Applied Mathematics,22,Female,163 cm,52kg,Black,No,green 

1/9/2018 14:50:35,3,Computer Science,20,Male,"5'6""",125 lbs,Brown,Yes,Mint chocolate

1/9/2018 14:50:36,3rd,Computer Science,20,Male,5 Feet 6 inches,140 lb,brown,Yes,Cookies and Cream

1/9/2018 14:50:36,2018,computer science,22,male,,,brown,No,

1/9/2018 14:50:37,2nd year,Computer Science,19,Male,173cm,60kg,black,No,Lemon

1/9/2018 14:50:38,Junior,Applied math,21,Male,6.1,168lb,Brown,No,Strawberry cheesecake

1/9/2018 14:50:38,3rd,Cognitive Science (Specialization in Design & Interaction),20,Female,"5'6""",140,Dark Brown,Yes,Mango

1/9/2018 14:50:38,4th year,Computer Science,21,Female,5' 3'',100,brown,Yes,Vanilla

1/9/2018 14:50:39,3rd year ,Cognitive Science ,20,Female,5'4,140 lbs,Blue,Yes,Birthday Cake

1/9/2018 14:50:39,3,MathCS,20,Male,5 foot 7,175,Brown,Yes,Vanilla

1/9/2018 14:50:39,Senior,Chemical Engineering,25,Female,5 ft 3,,Black,No,Green tea

1/9/2018 14:50:39,Junior,Cognitive Science,21,Male,"5 7""",150,Brown,Yes,Green Tea Mango

1/9/2018 14:50:39,Second year,Computer Science,19,Female,"5'2""",120,Black,No,Coffee

1/9/2018 14:50:39,Sophomore,Cogsci HCI,20,Female,"5'5""",120,Brown,No,Caramel Fudge

1/9/2018 14:50:39,Freshman,Computer Science,19,Male,5'7,130 pounds,Brown,Yes,Vanilla

1/9/2018 14:50:39,Sophomore,Computer Engineering ,20,Male,172 cm,124,Black,No,Vanilla 

1/9/2018 14:50:40,4,Computer Science,21,Male,6-5,200,Brown,Yes,Chocolate

1/9/2018 14:50:40,3,Cognitive Science,20,Female,"5'6""",140,brown,Yes,cookies and cream

1/9/2018 14:50:41,2nd,Computer Science,20,Male,5’ 6’’,150 lbs,Brown,Yes,Vanilla

1/9/2018 14:50:41,Second,Cognitive science,19,Male,177cm,84kg,Brown,No,Chocolate

1/9/2018 14:50:41,Second,Cognitive Science,19,Female,,,,Yes,Cookies and Cream

1/9/2018 14:50:41,Sophomore,Cognitive Science-Design,20,Male,"5'7""",119,Green,Yes,Mint

1/9/2018 14:50:42,4,Cog Sci,21,Male,6’0”,160,Blue,Yes,Cookie dough

1/9/2018 14:50:42,Freshman,Computer Science,18,Male,5'8,I don't know dude but heavy probably,Brown ,Yes,Peanut butter

1/9/2018 14:50:42,fourth year,cognitive science - hci,21,female,5'0,103,hazel,Yes,three musketeers

1/9/2018 14:50:43,5,cognitive science,22,men ,5'5,140lbs,brown,No,strawberry

1/9/2018 14:50:43,2nd year,Computer science,19,Male,6 foot,190,Brown,No,Mint

1/9/2018 14:50:43,4,Cognitive Science,21,M,6’ 1”,170lbs,Blue,Yes,Vanilla Honey Lavendar

1/9/2018 14:50:43,2nd year,Cognitive Science- Machine Learning & Neural Computation ,19,Male,5-10,155 lbs,Brown,Yes,Coffee

1/9/2018 14:50:43,Fourth,Cognitive Science,21,Female,,,Black,Yes,Sea salt cookies and cream

1/9/2018 14:50:43,4th year,Bioinformatics,21,Female,5',110,Brown,Yes,Coffee

1/9/2018 14:50:43,Freshman,Computer Science,18,Male,5 ft 8 in,140 lbs,Green,Yes,Strawberry

1/9/2018 14:50:43,Junior,Computer science,21,Male,5 foot 11 inches,120 lbs,Brown,No,Almond

1/9/2018 14:50:44,4,Computer Science,22,Male,"6'2""",175,Brown,Yes,Pistachio

1/9/2018 14:50:44,5,CogSci,32,Male,6,135,Mixed,No,Human

1/9/2018 14:50:44,5,Cognitive Science HCI,23,Male,5’6”,200,Brown,Yes,Vanilla

1/9/2018 14:50:45,2,Cognitive Science,19,female,5'4,160,brown,Yes,coffee

1/9/2018 14:50:45,Second year,Cognitive Science in HCI,19,female,1.7 m,50kg,black,No,original

1/9/2018 14:50:45,Second,Cogs sci,20,female,178,,brown,No,green tea

1/9/2018 14:50:45,3,Computer Science,20,Male,"5' 6""",140 lbs,Brown,No,Cookie Dough

1/9/2018 14:50:46,4th,Cognitive science,21,Male,5 11,135,Brown,No,Vanilla

1/9/2018 14:50:46,2nd,Cogs machine learning,19,Male,5’6”,150,Heterochromia,Yes,Rainbow

1/9/2018 14:50:47,4,Computer Engineering,21,Female,"5'2""",130,Brown,Yes,Mint

1/9/2018 14:50:47,3,Math-CS,21,Male,6 feet,190 lbs,Green,Yes,Cherry Garcia

1/9/2018 14:50:47,3rd,cogs hci,21,female,5'1,115,brown,Yes,GREEN TEAAA

1/9/2018 14:50:48,4,Computer Science,21,Female,5’4,115,brown,Yes,Green Tea

1/9/2018 14:50:49,4,Computer Science,21,Male,5'10,160,Black,Yes,Mint Chip

1/9/2018 14:50:49,3,Cognitive Science,20,Male,5 ft. 9 in,120 lbs,brown,No,chocolate

1/9/2018 14:50:49,Junior,Bioinformatics ,19,Female,170 cm ,52 kg,Dark brown,No,"Fruit, Cookie and Cream"

1/9/2018 14:50:49,5,Psychology,23,Male,6’2”,168lbs,Brown,No,Straciatella 

1/9/2018 14:50:50,Senior,Cognitive science,21,Male,6 ft 1 in,189,Brown,Yes,Strawberry

1/9/2018 14:50:50,Second,Computer science,18,Male,,,Brown,No,Cookies and cream

1/9/2018 14:50:50,First year,Cognitive Science,18,Female,167cm,47kg,Black,No,Chocolate

1/9/2018 14:50:50,Sophomore,Math & Computer Science,19,Male,"5'9""",125,black,No,Strawberry

1/9/2018 14:50:50,4,Computer Science,21,Male,6’0”,160,Brown,Yes,Strawberry

1/9/2018 14:50:50,Senior,Chemical Engineering,24,Male,5’9,168,Brown,No,Green tea

1/9/2018 14:50:50,5,Cog Sci HCI,39,Male,5’ 10”,160 lbs,Hazel,No,Chocolate

1/9/2018 14:50:51,3,Math CS,20,Male,6',160,Brown,No,Cookies and Cream

1/9/2018 14:50:51,Sophmore,MATH-CS,20,Male,6 feet,76KG,Brown,No,I don't like ice cream.

1/9/2018 14:50:51,Third,Computer Science,20,Male,190cm,77kg,Brown/Black,No,Chocolate

1/9/2018 14:50:51,4th,Cognitive Science,21,Male,5'8,181,Brown,Yes,Coconut

1/9/2018 14:50:52,Second Year,Math-CS,19,Male,"5'5""",146,Brown,Yes,Nutty Coconut

1/9/2018 14:50:53,Second year,CogSci w/ Spec in HCI,20,Male,5'7,140lbs,brown,Yes,Coffee

1/9/2018 14:50:53,6,Computer Science,23,Male,5'8 feet,150,Black,Yes,Strawberry

1/9/2018 14:50:54,Junior year,Cogs Spec ML and NC,21,Male,6’q,156,Brown,Yes,Shorbet 

1/9/2018 14:50:54,4,Cognitive Science,21,Male,5 ft 7 in,135,Black,Yes,Vanilla

1/9/2018 14:50:54,3rd,Computer Engineering,21,Male,5 foot 10,140 pounds,Brown,No,Butterscotch

1/9/2018 14:50:54,3,Cognitive Science HCI,22,Male,"5'8""",128 lb,Brown,No,None

1/9/2018 14:50:54,3,Computer Science,21,F,5’6”,110,Brown,Yes,Chocolate chip cookie dough 

1/9/2018 14:50:55,4,Probability and Statistics,21,Male,5 foot 8 inches,120 lbs,Brown,Yes,Strawberry

1/9/2018 14:50:55,4,Computer Science,21,Male,"5'11""",160,Brown,Yes,Chocolate

1/9/2018 14:50:56,2020,Computer Science,19,Male,5’9”,145,Hazel,Yes,Chocolate

1/9/2018 14:50:56,Second year,Cognitive Science,19,Female,161cm,46kg,Black,No,Oreo

1/9/2018 14:50:56,Second Year,Data Science,19,Male,"5'10""",145,Blue,No,Banana

1/9/2018 14:50:56,Fifth ,Math-CS,22,Male,6’0,170,Black,Yes,Vanilla 

1/9/2018 14:50:57,3,Cog Sci,21,Male,6’,140 lb ,Brown,Yes,Cookies and Cream 

1/9/2018 14:50:57,Second,Cognitive Science,20,Female,5 ft,120 lb,Brown,No,Mint Chip

1/9/2018 14:50:57,4th,Cognitive Neuroscience,21,Female,5’ 5”,160,Brown,Yes,Cookies n Cream

1/9/2018 14:50:58,Sophomore ,Computer Science Engineer,20,Male,5’8’’,146lb,Black,No,Sweet taro

1/9/2018 14:50:58,Junior,Cogsci/HCI,20,Male,"5'10""",169lb,black,No,Strawberry

